CustomerID,FirstName,LastName,Email,PhoneNumber,Address,City,State,PostalCode,Country,JoinDate,PreferredContactMethod
189,Samantha,Yates,tromero@williams.com,001-884-719-0602,71013 Murphy Track Suite 282,Port Jenniferbury,KY,69826,South Africa,2024-05-14,Phone
190,Denise,Matthews,brandonking@hoffman.com,7251072480,792 Torres Glen,West Anne,KS,31325,Australia,2023-10-02,Email
191,Ryan,Chambers,brianna28@clark.info,(582)407-2153x082,282 Vazquez Ville,Daltonton,MT,20402,South Africa,2024-02-05,Mail
192,William,Thomas,jonesamy@oconnell.org,287-808-3315,762 James Mountain Suite 505,Port Timothyfort,VA,83954,Germany,2024-08-11,Mail
193,Ashley,Tyler,danielbrenda@hancock.com,1253304462,3596 Crystal Cove Apt. 911,Gwendolynborough,WA,76906,France,2023-09-22,Email
194,John,Mullins,haleyorozco@gmail.com,395.079.3661x3486,9066 Meyers Terrace Suite 070,Rosshaven,NJ,84976,Japan,2024-06-21,Phone
195,Angela,Williams,seanwilliams@blackburn-jones.com,440.771.0649x7382,60502 Jason Walk Suite 618,Deniseport,AK,70048,France,2023-12-14,Email
196,Mario,Bailey,robertgomez@williams.com,734.559.2489,17521 Brock Plains Apt. 235,North Jacobfurt,WV,91237,UK,2023-10-17,Mail
197,Jason,Miles,richard90@gmail.com,257-842-3453,0540 Salazar Courts,Karenmouth,NM,12403,Brazil,2024-01-13,Mail
198,Scott,Simmons,victorschmidt@yahoo.com,384-444-9228x155,8375 David Highway,Lake Emilymouth,WI,48894,Australia,2023-11-04,Phone
199,Michael,Jenkins,xmarshall@gmail.com,001-152-415-0572,0343 Brooke Via Apt. 354,New Ryanchester,RI,49665,India,2023-12-31,Phone
200,Stephanie,Flores,pburton@bond.com,001-429-442-4242x3147,29260 Dakota Lights,Lake Victor,AK,20670,Japan,2023-11-29,Phone
